City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Thompson,CA,71.76,scattered clouds,55.7435,-97.8558,Burntwood Hotel
2,Jamestown,US,88.02,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
8,Buala,SB,79.86,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
15,Vaini,TO,73.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
16,Atuona,PF,77.81,clear sky,-9.8,-139.0333,Villa Enata
18,Rikitea,PF,73.36,clear sky,-23.1203,-134.9692,People ThankYou
20,Nueva Guinea,NI,78.51,overcast clouds,11.6876,-84.4562,Posadita La Reyna
24,Kita,ML,74.71,light rain,13.0349,-9.4895,Hôtel Chat Rouge
25,Bambous Virieux,MU,71.85,light rain,-20.3428,57.7575,Casa Tia Villa
27,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Narasannapeta,IN,82.26,overcast clouds,18.4167,84.05,AVK events and catering
30,Laramie,US,86.09,clear sky,41.3114,-105.5911,Fairfield Inn & Suites by Marriott Laramie
31,Caravelas,BR,73.4,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
36,Saint Anthony,US,89.15,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
37,Carnarvon,AU,70.56,clear sky,-24.8667,113.6333,Hospitality Carnarvon
38,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
39,Beyneu,KZ,84.16,overcast clouds,45.3167,55.2,NUR
41,Torbay,CA,69.28,broken clouds,47.6666,-52.7314,Gallows Cove
42,Ixtapa,MX,89.22,overcast clouds,20.7,-105.2,hotel la terminal
47,Komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
51,Kavieng,PG,81.14,light rain,-2.5744,150.7967,Nusa Island Retreat
52,Butaritari,KI,81.28,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
54,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Pirineos
55,Warrington,GB,65.32,scattered clouds,53.3925,-2.5802,Villaggio Hotel
57,Banda Aceh,ID,80.37,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
58,Garowe,SO,79.45,overcast clouds,8.4054,48.4845,Curubo Hotel
60,Padang,ID,76.06,scattered clouds,-0.9492,100.3543,Mercure Padang
64,Lorengau,PG,79.2,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
